Global Unit,Organizational Unit,Date,Company,MHW (C + NC),MHW ( C ),# Employees (C+NC),# Employees (C)
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-06-01,Company,390.0,390.0,2.0,2.0
Vice Presidency of Supply,Procurement Management - Projects,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-06-01,Contractors,194652.0,194652.0,1052.0,1052.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-06-01,Company,900.0,900.0,5.0,5.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-06-01,Company,360.0,360.0,2.0,2.0
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Contracting Management,2019-06-01,Company,2340.0,2340.0,13.0,13.0
Development Vice Presidency,Environmental Permits Management,2019-06-01,Company,1155.0,1155.0,7.0,7.0
Internal Protection Management,Internal Protection Management,2019-06-01,Contractors,2360.0,2360.0,35.0,35.0
Vice Presidency of Corporate Affairs,Communications Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-06-01,Company,768.0,768.0,4.0,4.0
Vice Presidency of Supply,Contracting Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-06-01,Company,52039.75,52039.75,301.0,301.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-06-01,Company,40661.52631578947,40661.52631578947,232.0,232.0
Operations Vice Presidency,Concentrator Plant Management,2019-06-01,Contractors,10232.0,10232.0,51.0,51.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-06-01,Company,540.0,540.0,3.0,3.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-06-01,Contractors,480.0,480.0,2.0,2.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-06-01,Company,360.0,360.0,2.0,2.0
SHE Vice Presidency,Environment Management,2019-06-01,Contractors,18568.0,18568.0,125.0,125.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Internal Protection Management,Internal Protection Management,2019-06-01,Company,1197.0,1197.0,6.0,6.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-06-01,Company,948.0,948.0,5.0,5.0
Vice Presidency of Community Relations,Social Studies Department,2019-06-01,Company,409.5,409.5,2.0,2.0
Vice Presidency of Community Relations,Social Studies Department,2019-06-01,Contractors,0.0,0.0,0.0,0.0
General Management Operations Las Bambas,Operations General Management,2019-06-01,Company,559.5,559.5,3.0,3.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-06-01,Company,4473.0,4473.0,24.0,24.0
General Management Operations Las Bambas,Operations General Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Mine Operations Management,2019-06-01,Company,132287.25,132287.25,778.0,778.0
Operations Vice Presidency,Mine Operations Management,2019-06-01,Contractors,174585.0,146167.8,809.0,809.0
Development Vice Presidency,Pit3 Management,2019-06-01,Contractors,2339.0,2339.0,49.0,49.0
Vice President of Projects,Studies Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Pit3 Management,2019-06-01,Company,1666.5,1666.5,9.0,9.0
SHE Vice Presidency,SHE Vice Presidency,2019-06-01,Company,180.0,180.0,1.0,1.0
Development Vice Presidency,Development Vice Presidency,2019-06-01,Company,540.0,540.0,3.0,3.0
Vice President of Projects,Vice President of Projects,2019-06-01,Company,5365.5,5365.5,27.0,27.0
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-06-01,Company,1669.5,1669.5,8.0,8.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-06-01,Company,2238.0,2238.0,13.0,13.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-06-01,Company,3889.5,3889.5,21.0,21.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-06-01,Company,1129.5,1129.5,6.0,6.0
Global Business Services & Technology,Technology,2019-06-01,Contractors,1740.0,1740.0,18.0,18.0
Development Vice Presidency,Development Vice Presidency,2019-06-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-07-01,Company,2719.5,2719.5,14.0,14.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-07-01,Company,1126.5,1126.5,6.0,6.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-07-01,Company,1234.5,1234.5,6.0,6.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Corporate Affairs,Communications Management,2019-07-01,Contractors,0.0,0.0,,
SHE Vice Presidency,Environment Management,2019-07-01,Contractors,17880.0,17880.0,109.0,109.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-07-01,Company,2257.5,2257.5,11.0,11.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-07-01,Company,891.0,891.0,5.0,5.0
Commercial Vice Presidency,finance management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Corporate Affairs,Communications Management,2019-07-01,Company,2895.0,2895.0,14.0,14.0
Development Vice Presidency,Engineering Management,2019-07-01,Company,210.0,210.0,1.0,1.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-07-01,Company,4468.5,4468.5,24.0,24.0
Development Vice Presidency,Environmental Permits Management,2019-07-01,Company,1375.5,1375.5,7.0,7.0
Development Vice Presidency,Regional Management of Technical Services,2019-07-01,Company,3348.0,3348.0,17.0,17.0
Development Vice Presidency,Regional Management of Technical Services,2019-07-01,Contractors,0.0,0.0,,
Commercial Vice Presidency,Commercial Vice Presidency,2019-07-01,Contractors,0.0,0.0,,
Vice President of Projects,Project Management - 3rd Ball Mill,2019-07-01,Company,970.5,970.5,5.0,5.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-07-01,Company,6057.521739130435,6057.521739130435,29.0,29.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-07-01,Company,738.0,738.0,4.0,4.0
Group Explorations Management,Group Explorations Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-07-01,Contractors,0.0,0.0,,
Development Vice Presidency,Engineering Management,2019-07-01,Contractors,103596.0,22955.0,462.0,97.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-07-01,Company,2385.5,2385.5,11.0,11.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-07-01,Company,414.0,414.0,2.0,2.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-07-01,Contractors,0.0,0.0,,
Global Business Services & Technology,Technology,2019-07-01,Company,3919.5,3919.5,21.0,21.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-07-01,Company,12763.75,12763.75,68.0,68.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-07-01,Company,756.0,756.0,4.0,4.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-07-01,Contractors,0.0,0.0,,
Operations Vice Presidency,Operations Vice Presidency,2019-07-01,Contractors,0.0,0.0,,
Operations Vice Presidency,Operations Vice Presidency,2019-07-01,Company,462.0,462.0,2.0,2.0
Global Business Services & Technology,Technology,2019-07-01,Contractors,1556.0,1556.0,6.0,6.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-07-01,Company,928.5,928.5,5.0,5.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-07-01,Contractors,0.0,0.0,,
Commercial Vice Presidency,finance management,2019-07-01,Company,1521.0,1521.0,8.0,8.0
Operations Vice Presidency,Mine Operations Management,2019-07-01,Contractors,149045.0,120474.20000000001,844.0,844.0
Operations Vice Presidency,Mine Operations Management,2019-07-01,Company,135850.72222222222,135850.72222222222,788.0,788.0
Operations Vice Presidency,maintenance management,2019-07-01,Contractors,270648.0,270648.0,1605.0,1605.0
Commercial Vice Presidency,Tax Management,2019-07-01,Contractors,0.0,0.0,,
Operations Vice Presidency,maintenance management,2019-07-01,Company,51902.75,51902.75,305.0,305.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-07-01,Contractors,0.0,0.0,,
Commercial Vice Presidency,Commercial Vice Presidency,2019-07-01,Company,549.0,549.0,3.0,3.0
Commercial Vice Presidency,Tax Management,2019-07-01,Company,621.0,621.0,5.0,5.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-07-01,Company,612.0,612.0,3.0,3.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-07-01,Company,414.0,414.0,2.0,2.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Community Relations,Social Studies Department,2019-07-01,Contractors,0.0,0.0,,
Logistics and Site Services Management,Logistics and Site Services Management,2019-07-01,Contractors,343710.0,152810.1,1659.0,1630.0
Vice Presidency of Supply,Procurement Management - Projects,2019-07-01,Contractors,0.0,0.0,,
Operations Vice Presidency,Technical Services Management,2019-07-01,Contractors,10572.0,10572.0,72.0,72.0
Operations Vice Presidency,Technical Services Management,2019-07-01,Company,15763.5,15763.5,88.0,88.0
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-07-01,Contractors,0.0,0.0,,
Global Business Services & Technology,Global Business Services,2019-07-01,Contractors,0.0,0.0,,
Global Business Services & Technology,Global Business Services,2019-07-01,Company,4284.0,4284.0,23.0,23.0
Internal Protection Management,Internal Protection Management,2019-07-01,Contractors,24478.0,24478.0,107.0,107.0
Development Vice Presidency,Resources Development Management,2019-07-01,Company,5786.75,5786.75,31.0,31.0
Development Vice Presidency,Resources Development Management,2019-07-01,Contractors,61112.0,61112.0,274.0,274.0
SHE Vice Presidency,Health and Safety Management,2019-07-01,Contractors,10140.0,10140.0,59.0,59.0
SHE Vice Presidency,Health and Safety Management,2019-07-01,Company,5733.0,5733.0,31.0,31.0
General Management Operations Las Bambas,Operations General Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Supply,Contracting Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-07-01,Company,178.43478260869566,178.43478260869566,1.0,1.0
Vice Presidency of Community Relations,Social Studies Department,2019-07-01,Company,399.0,399.0,2.0,2.0
Development Vice Presidency,Pit3 Management,2019-07-01,Company,1762.5,1762.5,9.0,9.0
Vice President of Projects,Vice President of Projects,2019-07-01,Contractors,194048.0,194048.0,1162.0,1162.0
Development Vice Presidency,Studies Management,2019-07-01,Contractors,0.0,0.0,,
Development Vice Presidency,Project Services Management,2019-07-01,Company,5484.0,5484.0,27.0,27.0
Group Explorations Management,Group Explorations Management,2019-07-01,Company,774.0,774.0,4.0,4.0
Vice President of Projects,Vice President of Projects,2019-07-01,Company,5355.0,5355.0,27.0,27.0
Las Bambas Presidency,Executive Office,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-07-01,Company,1606.5,1606.5,8.0,8.0
Development Vice Presidency,Pit3 Management,2019-07-01,Contractors,12540.0,12540.0,52.0,52.0
Las Bambas Presidency,Executive Office,2019-07-01,Company,597.0,597.0,3.0,3.0
Development Vice Presidency,Environmental Permits Management,2019-07-01,Contractors,0.0,0.0,,
Internal Protection Management,Internal Protection Management,2019-07-01,Company,1228.5,1228.5,7.0,7.0
General Management Operations Las Bambas,Operations General Management,2019-07-01,Company,645.0,645.0,3.0,3.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-07-01,Contractors,0.0,0.0,,
Development Vice Presidency,Studies Management,2019-07-01,Company,1674.0,1674.0,9.0,9.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Community Relations,Community Relations Management Site,2019-07-01,Company,11602.5,11602.5,60.0,60.0
Development Vice Presidency,Development Vice Presidency,2019-07-01,Company,567.0,567.0,3.0,3.0
Development Vice Presidency,Development Vice Presidency,2019-07-01,Contractors,0.0,0.0,,
Vice President of Projects,Studies Management,2019-07-01,Contractors,0.0,0.0,,
Vice President of Projects,Project Management - 3rd Ball Mill,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-07-01,Company,1216.5,1216.5,6.0,6.0
Vice President of Projects,Studies Management,2019-07-01,Company,420.0,420.0,2.0,2.0
Vice Presidency of Supply,Procurement Management - Projects,2019-07-01,Company,364.5,364.5,2.0,2.0
Operations Vice Presidency,Concentrator Plant Management,2019-07-01,Company,39934.26315789474,39934.26315789474,232.0,232.0
Development Vice Presidency,Project Services Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-07-01,Contractors,18644.0,17576.4,82.0,82.0
Operations Vice Presidency,Concentrator Plant Management,2019-07-01,Contractors,46496.0,40842.0,247.0,219.0
Vice Presidency of Supply,Contracting Management,2019-07-01,Company,2844.0,2844.0,15.0,15.0
Vice Presidency of Human Resources,Human Resources Management,2019-07-01,Contractors,1536.0,1536.0,7.0,7.0
Development Vice Presidency,Service Management and Project Support,2019-07-01,Company,207.0,207.0,1.0,1.0
Development Vice Presidency,Service Management and Project Support,2019-07-01,Contractors,0.0,0.0,,
SHE Vice Presidency,SHE Vice Presidency,2019-07-01,Contractors,0.0,0.0,,
Vice Presidency of Human Resources,Development and Training Management,2019-07-01,Contractors,0.0,0.0,,
SHE Vice Presidency,SHE Vice Presidency,2019-07-01,Company,324.0,324.0,2.0,2.0
Vice Presidency of Human Resources,Development and Training Management,2019-07-01,Company,2499.0,2499.0,12.0,12.0
Vice Presidency of Human Resources,Human Resources Management,2019-07-01,Company,2773.5,2773.5,14.0,14.0
Operations Vice Presidency,Technical Services Management,2019-08-01,Contractors,12444.0,12444.0,55.0,55.0
Development Vice Presidency,Environmental Permits Management,2019-08-01,Company,1398.0,1398.0,7.0,7.0
Development Vice Presidency,Environmental Permits Management,2019-08-01,Contractors,4036.0,4036.0,36.0,36.0
Vice President of Projects,Project Implementation Management,2019-08-01,Company,1039.5,1039.5,5.0,5.0
Global Business Services & Technology,Technology,2019-08-01,Company,3940.5,3940.5,21.0,21.0
Commercial Vice Presidency,Business Evaluation Management,2019-08-01,Company,378.0,378.0,2.0,2.0
Vice President of Projects,Project Implementation Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Business Evaluation Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-08-01,Contractors,4348.0,4348.0,27.0,27.0
Operations Vice Presidency,Mine Operations Management,2019-08-01,Company,144731.75,144731.75,831.0,831.0
Operations Vice Presidency,Technical Services Management,2019-08-01,Company,16153.5,16153.5,90.0,90.0
Development Vice Presidency,Pit3 Management,2019-08-01,Company,1674.0,1674.0,9.0,9.0
General Management Operations Las Bambas,Operations General Management,2019-08-01,Contractors,0.0,0.0,0.0,3.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-08-01,Company,4387.25,4387.25,27.0,27.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-08-01,Company,1201.5,1201.5,6.0,6.0
Vice Presidency of Community Relations,Social Studies Department,2019-08-01,Company,409.5,409.5,2.0,2.0
Vice Presidency of Community Relations,Social Studies Department,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-08-01,Company,396.0,396.0,2.0,2.0
SHE Vice Presidency,Health and Safety Management,2019-08-01,Company,5659.5,5659.5,31.0,31.0
Operations Vice Presidency,Operations Vice Presidency,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Regional Management of Technical Services,2019-08-01,Contractors,0.0,0.0,0.0,0.0
General Management Operations Las Bambas,Operations General Management,2019-08-01,Company,637.5,637.5,3.0,3.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-08-01,Company,702.0,702.0,4.0,4.0
Development Vice Presidency,Pit3 Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-08-01,Company,1057.5,1057.5,5.0,5.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-08-01,Company,168.0681818181818,168.0681818181818,1.0,1.0
Development Vice Presidency,Resources Development Management,2019-08-01,Company,6228.654605263158,6228.654605263158,32.0,32.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-08-01,Company,990.0,990.0,5.0,5.0
Vice Presidency of Supply,Contracting Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-08-01,Company,3129.0,3129.0,16.0,16.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-08-01,Company,2215.5,2215.5,12.0,12.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-08-01,Company,1848.0,1848.0,11.0,11.0
Operations Vice Presidency,Concentrator Plant Management,2019-08-01,Company,40190.75,40190.75,236.0,236.0
Operations Vice Presidency,Concentrator Plant Management,2019-08-01,Contractors,24946.0,19501.0,116.0,86.0
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-08-01,Contractors,1410.0,1410.0,6.0,6.0
Vice Presidency of Legal Affairs,Land Acquisition and Resettlement Management,2019-08-01,Company,1438.5,1438.5,8.0,8.0
SHE Vice Presidency,SHE Vice Presidency,2019-08-01,Company,396.0,396.0,2.0,2.0
SHE Vice Presidency,SHE Vice Presidency,2019-08-01,Contractors,876.0,876.0,4.0,4.0
Commercial Vice Presidency,Tax Management,2019-08-01,Company,747.0,747.0,5.0,5.0
Commercial Vice Presidency,Tax Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Project Services Management,2019-08-01,Company,4717.5,4717.5,26.0,26.0
Development Vice Presidency,Project Services Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-08-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Health and Safety Management,2019-08-01,Contractors,10200.0,10200.0,59.0,59.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-08-01,Contractors,21366.0,11716.800000000001,110.0,110.0
Operations Vice Presidency,Mine Operations Management,2019-08-01,Contractors,156001.0,132190.8,697.0,697.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Vice President of Projects,2019-08-01,Company,220.5,220.5,1.0,1.0
Development Vice Presidency,Resources Development Management,2019-08-01,Contractors,82360.0,82360.0,356.0,356.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-08-01,Company,595.5,595.5,3.0,3.0
Development Vice Presidency,Development Vice Presidency,2019-08-01,Company,558.0,558.0,3.0,3.0
Development Vice Presidency,Development Vice Presidency,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Project Construction Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-08-01,Company,513.0,513.0,3.0,3.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-08-01,Company,5847.0,5847.0,30.0,30.0
Operations Vice Presidency,maintenance management,2019-08-01,Contractors,194659.0,198883.0,1144.0,1163.0
Operations Vice Presidency,maintenance management,2019-08-01,Company,60728.5,60728.5,380.0,380.0
Vice Presidency of Supply,Contracting Management,2019-08-01,Company,3060.0,3060.0,17.0,17.0
Development Vice Presidency,Regional Management of Technical Services,2019-08-01,Company,3330.0,3330.0,18.0,18.0
Operations Vice Presidency,Operations Vice Presidency,2019-08-01,Company,346.5,346.5,2.0,2.0
Vice Presidency of Supply,Procurement Management - Projects,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Service Management and Project Support,2019-08-01,Company,828.0,828.0,4.0,4.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-08-01,Company,850.5,850.5,5.0,5.0
Group Explorations Management,Group Explorations Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Vice President of Projects,2019-08-01,Contractors,186008.0,186008.0,988.0,988.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-08-01,Company,1224.0,1224.0,6.0,6.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Human Resources Management,2019-08-01,Contractors,721.0,721.0,4.0,4.0
Vice President of Projects,TSF Project Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,TSF Project Management,2019-08-01,Company,798.0,798.0,4.0,4.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-08-01,Company,613.5,613.5,3.0,3.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-08-01,Company,333.0,333.0,2.0,2.0
Las Bambas Presidency,Executive Office,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Human Resources Management,2019-08-01,Company,2916.0,2916.0,15.0,15.0
Global Business Services & Technology,Global Business Services,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-08-01,Company,396.0,396.0,2.0,2.0
Global Business Services & Technology,Global Business Services,2019-08-01,Company,3861.0,3861.0,22.0,22.0
Vice Presidency of Human Resources,Development and Training Management,2019-08-01,Contractors,420.0,420.0,2.0,2.0
Vice President of Projects,Project Construction Management,2019-08-01,Company,2677.5,2677.5,14.0,14.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-08-01,Contractors,6760.0,0.0,38.0,0.0
Development Vice Presidency,Studies Management,2019-08-01,Company,1674.0,1674.0,9.0,9.0
Internal Protection Management,Internal Protection Management,2019-08-01,Company,1617.0,1617.0,8.0,8.0
Internal Protection Management,Internal Protection Management,2019-08-01,Contractors,56112.0,55296.0,240.0,235.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-08-01,Company,10395.5,10395.5,57.0,57.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-08-01,Contractors,5172.0,775.8,31.0,31.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-08-01,Company,720.0,720.0,4.0,4.0
Development Vice Presidency,Studies Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-08-01,Company,1476.0,1476.0,8.0,8.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-08-01,Company,11652.75,11652.75,68.0,68.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-08-01,Company,198.0,198.0,1.0,1.0
Vice President of Projects,Project Management - 3rd Ball Mill,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-08-01,Contractors,300752.37,220257.8,1601.0,1401.0
Vice President of Projects,Project Management - 3rd Ball Mill,2019-08-01,Company,828.0,828.0,4.0,4.0
Vice President of Projects,Project Management of Mines and Others,2019-08-01,Company,598.5,598.5,3.0,3.0
Development Vice Presidency,Engineering Management,2019-08-01,Contractors,89508.0,75960.0,414.0,354.0
Vice Presidency of Corporate Affairs,Communications Management,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-08-01,Company,2115.0,2115.0,12.0,12.0
Development Vice Presidency,Engineering Management,2019-08-01,Company,189.0,189.0,1.0,1.0
Vice President of Projects,Project Management of Mines and Others,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Service Management and Project Support,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-08-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Communications Management,2019-08-01,Company,2539.5,2539.5,15.0,15.0
Development Vice Presidency,Development Vice Presidency,2019-09-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-09-01,Company,38525.25,38525.25,235.0,235.0
Operations Vice Presidency,Concentrator Plant Management,2019-09-01,Contractors,8519.0,5604.0,43.0,28.0
Development Vice Presidency,Development Vice Presidency,2019-09-01,Company,558.0,558.0,3.0,3.0
Vice President of Projects,Vice President of Projects,2019-09-01,Company,210.0,210.0,1.0,1.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-09-01,Company,2152.5,2152.5,12.0,12.0
Global Business Services & Technology,Global Business Services,2019-09-01,Company,4059.0,4059.0,23.0,23.0
Vice President of Projects,Project Management of Mines and Others,2019-09-01,Company,588.0,588.0,3.0,3.0
Vice President of Projects,Project Management of Mines and Others,2019-09-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-09-01,Company,3118.5,3118.5,16.0,16.0
